FORWARD SORTATION AREA,ANIMAL TYPE,BREED,COUNT
T3L,Cat,DOMESTIC SHORT HAIR,1
T5A,Cat,DOMESTIC SHORT HAIR,987
T5A,Dog,RHODESIAN RIDGEBACK,3
T5A,Dog,SIBERIAN HUSKY,50
T5A,Dog,MALTESE,57
T5A,Dog,"DACHSHUND, STANDARD SMOOTH",14
T5A,Dog,STANDARD POODLE,11
T5A,Dog,"CROSSBREED, MEDIUM",19
T5A,Dog,CAIRN TERRIER,7
T5A,Dog,PUG,73
T5A,Dog,HAVANESE,15
T5A,Dog,"TERRIER, AMERICAN STAFFORDSHIRE",28
T5A,Cat,RUSSIAN BLUE,5
T5A,Dog,"CROSSBREED, SMALL",11
T5A,Cat,RAGDOLL,19
T5A,Dog,RAT TERRIER,1
T5A,Cat,"MANX, LONG HAIR",6
T5A,Dog,BRUSSELS GRIFFON,1
T5A,Dog,LEONBURGER,1
T5A,Cat,SIAMESE,73
T5A,Dog,"WELSH CORGI, PEMBROKE",9
T5A,Dog,SOFT COATED WHEATEN TERRIER,10
T5A,Dog,COCKAPOO,23
T5A,Dog,CAVALIER KING CHARLES SPANIEL,7
T5A,Dog,WIREHAIRED FOX TERRIER,1
T5A,Dog,CHESAPEAKE BAY RETRIEVER,4
T5A,Dog,TERRIPOO,5
T5A,Dog,CATAHOULA LEAPARD DOG,4
T5A,Dog,GREYHOUND,8
T5A,Dog,ITALIAN GREYHOUND,2
T5A,Dog,"MALAMUTE, ALASKAN",8
T5A,Cat,BURMESE,3
T5A,Dog,ENGLISH POINTER,1
T5A,Dog,POINTER,1
T5A,Dog,"HOUND, AFGHAN",1
T5A,Dog,"RETRIEVER, CURLY COATED",1
T5A,Dog,BEARDED COLLIE,1
T5A,Dog,BICHON FRISE,144
T5A,Dog,OLD ENGLISH MASTIFF,4
T5A,Dog,"CHIHUAHUA, SMOOTH",62
T5A,Dog,POODLE,54
T5A,Dog,KEESHOND,12
T5A,Dog,"DOG, AUSTRALIAN CATTLE",20
T5A,Dog,JACK RUSSELL TERRIER,66
T5A,Dog,MINIATURE POODLE,15
T5A,Dog,"DACHSHUND, MINIATURE LONG HAIR",16
T5A,Dog,MAINE COON,1
T5A,Dog,SCOTTISH TERRIER,7
T5A,Dog,WHIPPET,3
