date,closing_price,high,low,daily_trading_volume
2015-01-02,37.35,37.64,36.66,2229736
2015-01-05,35.72,36.57,35.16,5218828
2015-01-06,35.23,35.82,34.63,4668188
2015-01-07,35.28,36.1,35.08,4344067
2015-01-08,35.98,36.28,35.67,3680275
2015-01-09,35.61,36.48,35.53,3772754
2015-01-12,34.32,35.14,34.13,3338777
2015-01-13,34.81,35.46,34.2,4893019
2015-01-14,34.87,35.08,33.85,4700842
2015-01-15,34.22,35.74,34.2,3947022
2015-01-16,36,36.1,34.46,3563926
2015-01-19,35.55,35.99,35.06,872169
2015-01-20,34.93,35.5,34.71,3847658
2015-01-21,36.4,36.82,34.94,3901109
2015-01-22,37.05,37.19,36.11,3553407
2015-01-23,37.34,37.78,36.73,3785985
2015-01-26,37.21,37.5,36.73,2477838
2015-01-27,37.63,37.68,36.56,2792739
2015-01-28,36.74,37.6,36.66,3851442
2015-01-29,36.44,37.2,35.55,3414255
2015-01-30,37.9,38.12,35.87,4876021
2015-02-02,39.35,39.35,38.37,4225374
2015-02-03,39.55,40.6,38.97,6669899
2015-02-04,37.49,38.72,37.25,5012339
2015-02-05,38.55,38.56,37.42,4740998
2015-02-06,38.74,39.27,38.29,3851723
2015-02-09,39.3,39.57,38.91,2658560
2015-02-10,38.42,39.25,37.67,3628341
2015-02-11,38.49,38.93,37.75,2651631
2015-02-12,39.1,39.27,38.65,3094186
2015-02-13,39.4,39.74,39.3,2558370
2015-02-17,39.15,39.42,38.89,3082387
2015-02-18,38.49,39.2,38.4,2942985
2015-02-19,38.47,38.72,37.41,4523242
2015-02-20,38.47,38.88,38.14,2038998
2015-02-23,38.67,39.19,37.87,2373922
2015-02-24,38.34,39.18,38.05,1914682
2015-02-25,38.37,38.41,37.82,2490459
2015-02-26,38.19,38.19,37.81,2926424
2015-02-27,37.53,38.35,37.51,4538795
2015-03-02,37.08,37.25,36.5,2553989
2015-03-03,37.56,37.8,36.61,2774532
2015-03-04,37.39,37.83,36.93,2522214
2015-03-05,37.11,37.63,36.8,3061302
2015-03-06,36.91,37.62,36.72,2186619
2015-03-09,35.95,37.11,35.95,2518186
2015-03-10,35.54,36.03,35.3,2523376
2015-03-11,36.02,36.33,35.46,3196612
