age,job,marital,education,default,housing,loan,duration,voicemail,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
30,blue-collar,married,basic.9y,no,yes,no,487,yes,-1.8,92.893,-46.2,1.313,5099.1,no
39,services,single,high.school,no,no,no,346,no,1.1,93.994,-36.4,4.855,5191,no
25,services,married,high.school,no,yes,no,227,yes,1.4,94.465,-41.8,4.962,5228.1,no
38,services,married,basic.9y,no,unknown,unknown,17,yes,1.4,94.465,-41.8,4.959,5228.1,no
47,admin.,married,university.degree,no,yes,no,58,no,-0.1,93.2,-42,4.191,5195.8,no
32,services,single,university.degree,no,no,no,128,no,-1.1,94.199,-37.5,0.884,4963.6,no
32,admin.,single,university.degree,no,yes,no,290,yes,-1.1,94.199,-37.5,0.879,4963.6,no
41,entrepreneur,married,university.degree,unknown,yes,no,44,no,-0.1,93.2,-42,4.191,5195.8,no
31,services,divorced,professional.course,no,no,no,68,no,-0.1,93.2,-42,4.153,5195.8,no
35,blue-collar,married,basic.9y,unknown,no,no,170,yes,1.1,93.994,-36.4,4.855,5191,no
25,services,single,basic.6y,unknown,yes,no,301,no,1.4,93.918,-42.7,4.958,5228.1,no
36,self-employed,single,basic.4y,no,no,no,148,no,1.4,93.918,-42.7,4.968,5228.1,no
36,admin.,married,high.school,no,no,no,97,no,1.1,93.994,-36.4,4.859,5191,no
47,blue-collar,married,basic.4y,no,yes,no,211,yes,1.4,94.465,-41.8,4.958,5228.1,no
29,admin.,single,high.school,no,no,no,553,yes,-1.8,92.893,-46.2,1.313,5099.1,no
27,services,single,university.degree,no,no,no,698,no,1.4,93.918,-42.7,4.963,5228.1,no
44,admin.,divorced,university.degree,no,no,no,191,yes,1.4,93.918,-42.7,4.957,5228.1,no
46,admin.,divorced,university.degree,no,yes,no,59,no,1.4,93.918,-42.7,4.962,5228.1,no
45,entrepreneur,married,university.degree,unknown,yes,yes,38,yes,1.4,93.444,-36.1,4.965,5228.1,no
50,blue-collar,married,basic.4y,no,no,yes,849,no,1.4,93.918,-42.7,4.961,5228.1,yes
55,services,married,basic.6y,unknown,yes,no,326,yes,1.4,93.918,-42.7,4.962,5228.1,no
39,technician,divorced,high.school,no,no,no,222,yes,-1.8,93.369,-34.8,0.639,5008.7,yes
29,technician,single,university.degree,no,yes,yes,626,no,1.4,93.444,-36.1,4.967,5228.1,no
40,management,married,high.school,no,no,yes,119,no,1.4,93.444,-36.1,4.965,5228.1,no
44,technician,married,professional.course,unknown,yes,no,388,no,1.1,93.994,-36.4,4.864,5191,no
38,technician,married,professional.course,no,yes,no,479,no,1.4,93.444,-36.1,4.965,5228.1,yes
36,technician,divorced,professional.course,no,no,no,446,yes,1.1,93.994,-36.4,4.856,5191,no
28,blue-collar,married,basic.6y,unknown,no,no,68,yes,-1.8,92.893,-46.2,1.299,5099.1,no
47,admin.,single,unknown,unknown,no,no,127,no,1.1,93.994,-36.4,4.86,5191,no
34,admin.,married,university.degree,no,no,no,109,yes,1.4,93.444,-36.1,4.963,5228.1,no
38,technician,married,university.degree,no,yes,yes,113,no,-1.8,92.843,-50,1.687,5099.1,no
33,services,married,high.school,unknown,yes,no,393,yes,1.4,94.465,-41.8,4.865,5228.1,no
51,technician,single,university.degree,no,no,no,151,yes,-2.9,92.963,-40.8,1.268,5076.2,no
30,blue-collar,single,basic.4y,unknown,yes,no,256,no,1.4,94.465,-41.8,4.864,5228.1,no
48,technician,married,university.degree,no,no,no,42,yes,1.4,93.444,-36.1,4.962,5228.1,no
28,blue-collar,single,basic.9y,no,yes,no,525,no,1.4,94.465,-41.8,4.864,5228.1,no
36,blue-collar,married,basic.6y,no,yes,no,57,yes,1.1,93.994,-36.4,4.859,5191,no
46,management,divorced,high.school,no,no,no,499,unknown,-0.1,93.2,-42,4.12,5195.8,no
31,technician,single,unknown,no,yes,no,84,no,-1.8,92.893,-46.2,1.334,5099.1,no
20,student,single,unknown,no,no,no,137,yes,-1.1,94.601,-49.5,0.977,4963.6,no
35,services,married,high.school,unknown,yes,no,31,yes,-1.8,92.893,-46.2,1.344,5099.1,no
38,blue-collar,married,basic.9y,unknown,unknown,unknown,430,no,1.4,94.465,-41.8,4.967,5228.1,no
76,retired,married,university.degree,no,no,no,126,no,-1.7,94.027,-38.3,0.899,4991.6,no
45,entrepreneur,divorced,professional.course,no,yes,no,211,no,1.4,93.918,-42.7,4.961,5228.1,no
32,housemaid,married,basic.4y,no,yes,yes,340,no,-1.8,92.893,-46.2,1.313,5099.1,no
39,management,single,university.degree,unknown,no,no,412,no,-1.8,92.893,-46.2,1.327,5099.1,no
32,admin.,married,university.degree,no,no,no,132,yes,-0.1,93.2,-42,4.592,5195.8,no
29,admin.,single,basic.9y,no,no,no,79,yes,-1.8,92.893,-46.2,1.299,5099.1,no
44,services,married,professional.course,no,no,no,341,no,1.4,93.444,-36.1,4.97,5228.1,no
32,services,married,high.school,no,no,yes,157,yes,1.4,93.918,-42.7,4.957,5228.1,no
56,retired,married,university.degree,no,yes,no,252,yes,-2.9,92.963,-40.8,1.26,5076.2,no
33,blue-collar,married,basic.9y,no,yes,no,263,no,-1.8,92.893,-46.2,1.327,5099.1,no
39,management,married,high.school,no,no,no,215,yes,1.4,93.444,-36.1,4.966,5228.1,no
24,technician,married,university.degree,no,yes,yes,89,yes,-3.4,92.379,-29.8,0.77,5017.5,yes
33,admin.,single,university.degree,no,yes,no,143,no,-1.8,92.893,-46.2,1.327,5099.1,no
58,entrepreneur,divorced,university.degree,no,no,no,40,yes,1.4,94.465,-41.8,4.866,5228.1,no
29,admin.,single,university.degree,no,yes,no,10,yes,1.4,94.465,-41.8,4.959,5228.1,no
31,admin.,married,university.degree,no,yes,no,113,yes,1.4,93.444,-36.1,4.964,5228.1,no
27,admin.,married,university.degree,no,no,no,191,yes,1.1,93.994,-36.4,4.857,5191,no
60,admin.,divorced,professional.course,no,yes,no,481,yes,-1.1,94.199,-37.5,0.886,4963.6,yes
55,entrepreneur,married,professional.course,no,yes,yes,233,yes,-3.4,92.431,-26.9,0.739,5017.5,no
37,blue-collar,married,basic.9y,no,yes,no,204,yes,-1.8,92.893,-46.2,1.334,5099.1,no
52,admin.,married,unknown,no,yes,no,403,yes,-1.8,93.749,-34.6,0.654,5008.7,yes
46,services,married,high.school,no,yes,no,180,no,-1.8,93.075,-47.1,1.405,5099.1,no
42,blue-collar,divorced,basic.6y,no,yes,no,16,no,-1.8,92.893,-46.2,1.281,5099.1,no
35,admin.,single,university.degree,no,yes,no,447,no,1.4,93.918,-42.7,4.96,5228.1,no
49,technician,divorced,unknown,no,yes,yes,81,no,-3.4,92.431,-26.9,0.754,5017.5,no
29,services,divorced,high.school,no,no,yes,361,yes,1.4,94.465,-41.8,4.865,5228.1,no
32,blue-collar,married,basic.9y,no,no,no,1091,yes,-0.1,93.2,-42,4.191,5195.8,yes
37,self-employed,married,university.degree,no,no,no,395,yes,-1.8,92.893,-46.2,1.313,5099.1,no
39,technician,single,professional.course,unknown,no,no,432,yes,1.4,94.465,-41.8,4.865,5228.1,yes
