year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
2013,3,15,12,163,196,91,112,2000,24,10.5,1011.2,-2.6,0,SSE,0.7,Gucheng
2013,4,15,12,NA,133,80,74,1800,71,18,994.7,-1.3,0,E,1.4,Gucheng
2013,5,15,12,72,154,51,52,1399,141,27.2,1008.2,5.5,0,WSW,1.4,Gucheng
2013,6,15,12,89,167,37,78,1300,123,27.8,999.2,15.1,0,SSW,0.7,Gucheng
2013,7,15,12,21,3,3,29,1100,14,25.1,990.6,24.2,0.8,WSW,0.9,Gucheng
2013,8,15,12,126,170,3,61,1000,119,33.3,995,25.6,0,WSW,1.4,Gucheng
2013,9,15,12,17,60,11,52,600,46,25.5,1006.4,7.6,0,S,1.3,Gucheng
2013,10,15,12,13,25,10,27,400,50,15.6,1021.8,-5.5,0,SE,1.4,Gucheng
2013,11,15,12,80,125,NA,96,2000,12.2094,15.1,1008,-7.7,0,SE,1.5,Gucheng
2013,12,15,12,29,34,25,56,NA,NA,4,1024.5,-16.4,0,ESE,0.9,Gucheng
2014,1,15,12,85,92,83,116,2700,20,4.4,1022,-15.5,0,SE,1.6,Gucheng
2014,2,15,12,344,310,118,131,3700,17,3.1,1016.4,-6.3,0,ENE,1,Gucheng
2014,3,15,12,93,183,57,97,1800,30,18.5,1002.2,-8.7,0,N,0.8,Gucheng
2014,4,15,12,97,127,33,55,1400,96,22.2,1011.3,10.3,0,S,1.7,Gucheng
2014,5,15,12,80,246,NA,84,700,39,27.8,992,0.5,0,SSE,2.5,Gucheng
2014,6,15,12,113,146,5,53,1400,207,32.2,995.6,16.1,0,SSE,1.3,Gucheng
2014,7,15,12,57,127,5,22,600,199,30.4,996.2,18.8,0,SSW,1.7,Gucheng
2014,8,15,12,27,51,8,31,600,121,32,998.6,15.5,0,SE,1.4,Gucheng
2014,9,15,12,9,11,2,13,200,70,NA,1010,0,0,ENE,0.7,Gucheng
2014,10,15,12,15,169,2,12,200,74,21.9,1006.8,-2.8,0,NW,2.7,Gucheng
2014,11,15,12,71,98,42,82,1500,18,8.4,1022,-9.1,0,ENE,0.9,Gucheng
2014,12,15,12,9,51,6,10,300,68,2.5,1019,-18.3,0,WNW,4.1,Gucheng
2015,1,15,12,314,320,57,154,6200,4,1.1,1020.8,-5.2,0,SE,1.1,Gucheng
2015,2,15,12,260,279,112,95,4500,22,7,1011,-6,0,ENE,0.6,Gucheng
2015,3,15,12,116,189,42,67,1600,64,15.4,1009.6,-12,0,SSW,2.4,Gucheng
2015,4,15,12,NA,163,26,103,1200,49,21.5,990.2,3.2,0,ESE,1,Gucheng
2015,5,15,12,25,48,3,22,400,102,23.5,1008.4,2.3,0,SSW,1.9,Gucheng
2015,6,15,12,115,115,60,54,1400,NA,29.4,999.5,15.5,0,SSE,1.3,Gucheng
2015,7,15,12,38,93,3,75,600,62,27.4,999.2,18.7,0,ESE,0.7,Gucheng
2015,8,15,12,7,7,2,12,500,120,33.3,997.9,12.3,0,NNE,1.3,Gucheng
2015,9,15,12,122,134,26,29,1100,165,24.7,1012.6,13.9,0,ENE,0.6,Gucheng
2015,10,15,12,93,122,14,69,1000,86,23.8,1009.6,7.8,0,SSW,1.2,Gucheng
2015,11,15,12,208,208,16,69,2500,11,12,1012.7,6.1,0,S,NA,Gucheng
2015,12,15,12,9,20,3,11,300,47,2.6,1019.4,-15,0,NW,3.6,Gucheng
2016,1,15,12,46,70,26,49,1400,25,NA,1010.1,-16.8,0,NE,1.3,Gucheng
2016,2,15,12,7,22,4,5,400,71,1.9,1017.5,-18.2,0,WNW,NA,Gucheng
2016,3,15,12,141,182,55,55,1300,45,10,1010.3,-6,0,S,1.5,Gucheng
2016,4,15,12,65,108,20,84,1300,40,18,1004.1,1.5,0,NNE,1.4,Gucheng
2016,5,15,12,15,15,2,10,200,87,22.3,1005.9,-7.5,0,NW,3.9,Gucheng
2016,6,15,12,14,14,2,20,400,127,29.4,994.1,12.8,0,SE,1.8,Gucheng
2016,7,15,12,35,35,2,38,700,85,23.6,996.6,18.9,0,NE,2.2,Gucheng
2016,8,15,12,14,16,2,18,600,72,25.3,1002.3,17.7,0,NW,1.1,Gucheng
2016,9,15,12,35,71,12,24,800,83,28.1,1007,15.4,0,NE,1.5,Gucheng
2016,10,15,12,254,254,2,94,1800,5,15.5,1015.1,13,0,NE,1.9,Gucheng
2016,11,15,12,39,44,23,72,1600,16,9.1,1018.5,-13.4,0,S,2.5,Gucheng
2016,12,15,12,6,6,2,10,400,48,4.4,1026.2,-18.6,0,NNW,5,Gucheng
2017,1,15,12,55,72,21,41,800,24,-3.075,1022.75,-8.8,0,SE,2.1,Gucheng
2017,2,15,12,238,238,48,97,3000,25,5.6,1013.3,-7,0,NW,0.7,Gucheng
